Id,Date,City,State,Name,TBACode,Attended
1,3/26/2026,Oregon City,OR,Clackamas Academy,2026orore,FALSE
2,3/5/2026,Salem,OR,Oregon State Fair,2026orsal,FALSE
3,3/13/2026,Wilsonville,OR,Wilsonville,2026orwil,TRUE
4,4/8/2026,Cheney,WA,DCMP,2026pncmp,TRUE
5,3/27/2026,Auburn,WA,Auburn,2026waahs,FALSE
6,3/6/2026,Bonney Lake,WA,Bonney Lake,2026wabon,FALSE
7,3/20/2026,Bellevue,WA,Sammamish,2026wasam,FALSE
8,3/13/2026,Snohomish,WA,Glacier Peak,2026wasno,FALSE
9,3/19/2026,Yakima,WA,SunDome,2026wayak,FALSE
10,4/8/2026,Cheney,WA,DCMP,2026pncmp,TRUE
11,4/29/2026,Houston,TX,Worlds - Archimedes Division,2026arc,FALSE
12,4/29/2026,Houston,TX,Worlds - Curie Division,2026cur,FALSE
13,4/29/2026,Houston,TX,Worlds - Daly Division,2026dal,FALSE
14,4/29/2026,Houston,TX,Worlds - Galileo Division,2026gal,FALSE
15,4/29/2026,Houston,TX,Worlds - Hopper Division,2026hop,FALSE
16,4/29/2026,Houston,TX,Worlds - Johnson Division,2026joh,FALSE
17,4/29/2026,Houston,TX,Worlds - Milstein Division,2026mil,FALSE
18,4/29/2026,Houston,TX,Worlds - Newton Division,2026new,FALSE
19,4/29/2026,Houston,TX,Worlds - Einstein,2026cmptx,FALSE
