Events_Id,Events_Group_Id,Events_Name,Events_StartOfSeq,Events_AppliesToFOP,Events_NextSet,Events_ColorIndex
20,1,Pickup Coral - Station,TRUE,TRUE,23:24:25:26:27,
21,1,Pickup Coral - Ground,TRUE,TRUE,23:24:25:26:27,
22,1,Pickup Coral - FAILED,TRUE,TRUE,,
23,1,Drop Coral,FALSE,TRUE,,
24,1,Place Coral L1,FALSE,TRUE,,1
25,1,Place Coral L2,FALSE,TRUE,,1
26,1,Place Coral L3,FALSE,TRUE,,1
27,1,Place Coral L4,FALSE,TRUE,,1
28,2,Pickup Algae,TRUE,TRUE,30:32:33:34:35,
29,2,Pickup Algae - FAILED,TRUE,TRUE,,
30,2,Drop Algae,FALSE,TRUE,,
31,2,Remove Algae,TRUE,TRUE,,
32,2,Score Algae in Processor,FALSE,TRUE,,1
33,2,Miss Algae in Processor,FALSE,TRUE,,2
34,2,Score Algae in Net,FALSE,TRUE,,1
35,2,Miss Algae in Net,FALSE,TRUE,,2
40,3,Climb Start,TRUE,TRUE,41:42,,
41,3,Climb Success,FALSE,TRUE,,1
42,3,Climb Failed,FALSE,TRUE,,2
