CompetitionId,MatchType,MatchNumber,Red1,Red2,Red3,Blue1,Blue2,Blue3
5,q,1,4061,3786,9613,2147,3663,2374
5,q,2,6343,2990,847,2898,2550,955
5,q,3,5937,7034,4125,997,2926,8532
5,q,4,1359,6845,5920,2635,5683,6465
5,q,5,749,3712,9600,9438,2521,4060
5,q,6,3663,4513,4692,9567,2811,753
5,q,7,6343,2147,955,8532,3786,4125
5,q,8,5683,2374,2550,9613,1359,997
5,q,9,847,4060,5937,5920,6465,9438
5,q,10,4450,2046,2522,4682,6076,4918
5,q,11,3826,2929,9450,3218,1778,4469
5,q,12,5827,7461,3393,9680,3663,10498
5,q,13,360,4131,10416,10079,5588,2903
5,q,14,4089,4911,9450,4682,1778,2929
5,q,15,6076,3218,4450,4469,1318,9442
5,q,16,2930,2046,5941,4918,4512,3826
5,q,17,10498,4682,7627,9450,2522,2980
5,q,18,7461,3663,9442,4173,3393,1778
5,q,19,2046,3826,360,1318,2930,4450
5,q,20,5941,4911,4469,6076,5827,10416
