TeamNumber,Name,City,State,Country,ImageURL
1,The Juggernauts,Pontiac,Michigan,USA,
4,Team 4 ELEMENT,Van Nuys,California,USA,
5,Robocards,Melvindale,MI,USA,
6,The CogSquad,Plymouth,MN,USA,
7,Team007,Baltimore,MD,USA,
8,Paly Robotics,Palo Alto,California,USA,
9,Roosevelt RoboRiders,Chicago,IL,USA,
10,Red Knights,St. Louis Park,MN,USA,
11,MORT,Flanders,New Jersey,USA,
13,Triskadekamanics,Flanders,New Jersey,USA,
14,The Rulers,Flanders,New Jersey,USA,
15,Mustechs,Flanders,New Jersey,USA,
16,Bomb Squad,Mountain Home,Arkansas,USA,
17,The Brick Bombers,Mountain Home,Arkansas,USA,
18,Team 18,Mountain Home,Arkansas,USA,
19,Big Red,Greenwich,CT,USA,
20,The Rocketeers,Clifton Park,New York,USA,
21,ComBBAT,Titusville,Florida,USA,
22,Double Deuce,Chatsworth,California,USA,
23,PNTA Pilgrim Nuclear Technology Alliance,Plymouth,Massachusetts,USA,
24,Crusaders 2020,Plymouth,Massachusetts,USA,
25,Raider Robotix,North Brunswick,New Jersey,USA,
27,Team RUSH,Clarkston,Michigan,USA,
28,Pierson Whalers,Sag Harbor,New York,USA,
29,Caught in a Brainstorm,Sag Harbor,New York,USA,
30,FURY,Lincroft,NJ,USA,
31,Jenks Prime Movers,Jenks,Oklahoma,USA,
33,Killer Bees,Bloomfield Hills,Michigan,USA,
34,Rockets,Athens,Alabama,USA,
35,Sigma Squared,Whitehall,MI,USA,
37,Junior Plaids,Coral Gables,FL,USA,
38,Nonnebots,Woodbury,CT,USA,
39,The 39th Aero Squadron,Gilbert,AZ,USA,
40,Checkmate,Manchester,NH,USA,
41,RoboWarriors,Warren,New Jersey,USA,
42,P.A.R.T.S. (Precision Alvirne Robotics Team Systems),Hudson,NH,USA,
45,TechnoKats Robotics Team,Kokomo,Indiana,USA,
46,Category5,Kokomo,Indiana,USA,
47,Chief Delphi,Pontiac,MI,USA,
48,Team E.L.I.T.E.,Warren,Ohio,USA,
49,Robotic Knights,Saginaw,MI,USA,
51,Wings of Fire,Pontiac,Michigan,USA,
52,Robotworks Y,Pontiac,Michigan,USA,
53,Area 53,Greenbelt,Maryland,USA,
55,Team 55,Greenbelt,Maryland,USA,
56,R.O.B.B.E.,Bound Brook,New Jersey,USA,
57,Leopards,Houston,Texas,USA,
58,The Riot Crew,South Portland,Maine,USA,
59,RamTech,Miami,Florida,USA,
60,Kingman FIRST Robotics Team 60 (The Bionic Bulldogs),Kingman,Arizona,USA,
61,BVT Robotics,Upton,Massachusetts,USA,
62,Team 62,Upton,Massachusetts,USA,
63,McDowell Robotics Team 63,Erie,Pennsylvania,USA,
64,Gila Monsters,Mesa,AZ,USA,
65,The Huskie Brigade,Pontiac,MI,USA,
66,Grizzly Robotics,Ypsilanti,Michigan,USA,
67,The HOT Team,Highland,Michigan,USA,
68,Truck Town Thunder,Ortonville,Michigan,USA,
69,HYPER,Quincy,Massachusetts,USA,
70,More Martians,Goodrich,Michigan,USA,
71,Team Hammond,Hammond,Indiana,USA,
73,The Illumination,Rochester,New York,USA,
74,Team CHAOS,Holland,Michigan,USA,
75,RoboRaiders,Hillsborough,New Jersey,USA,
77,Team 77,Hillsborough,New Jersey,USA,
78,AIR STRIKE,Newport,Rhode Island,USA,
79,Team 79 Krunch,Oldsmar,Florida,USA,
80,Robocolt,Phoenix,AZ,USA,
81,MetalHeads,Freeport,Illinois,USA,
84,Chuck 84,Towanda,PA,USA,
85,B.O.B. (Built on Brains),Zeeland,Michigan,USA,
86,Team Resistance,Jacksonville,Florida,USA,
87,Diablo,Mount Holly,New Jersey,USA,
88,TJ²,Bridgewater,Massachusetts,USA,
89,Team 89,PA,USA,USA,
90,Team 90,PA,USA,USA,
92,RoboPats,Lincolnshire,IL,USA,
93,NEW Apple Corps,Appleton,Wisconsin,USA,
94,The  TechnoJays,Southfield,Michigan,USA,
95,Grasshoppers,White River Junction,Vermont,USA,
96,JESTER,Springfield,MA,USA,
97,Bionic Beef,Cambridge,Massachusetts,USA,
98,Team 98,Cambridge,Massachusetts,USA,
100,The Wildhats,Woodside,California,USA,
101,Striker,Chicago,Illinois,USA,
102,The Gearheads,Somerville,New Jersey,USA,
103,Cybersonics,Kintnersville,Pennsylvania,USA,
104,Team Universal,West Chester,PA,USA,
105,Team 105,CHARLTON,MA,USA,
106,Team 106,phila,PA,USA,
107,Team R.O.B.O.T.I.C.S.,Holland,Michigan,USA,
108,SigmaC@T Robotics Team,Fort Lauderdale,Florida,USA,
109,Team 109,Libertyville,IL,USA,
111,WildStang,Arlington Heights,Illinois,USA,
112,Plus One,Arlington Heights,Illinois,USA,
114,Eaglestrike,Los Altos,California,USA,
115,MVRT,Cupertino,California,USA,
116,Epsilon Delta,Herndon,Virginia,USA,
117,Steel Dragons,Pittsburgh,Pennsylvania,USA,
118,Robonauts,Houston,Texas,USA,
120,Youth Tech Academy Red Dragons,Cleveland,Ohio,USA,
121,Rhode Warriors,Middletown,Rhode Island,USA,
122,NASA Knights,Hampton,Virginia,USA,
123,Team - Cosmos,Hamtramck,Michigan,USA,
124,Team 124,Waterford,CT,USA,
125,NUTRONs,Revere,Massachusetts,USA,
126,Gael Force,Clinton,Massachusetts,USA,
127,Bluetonium,Friendswood,Texas,USA,
128,The Botcats,Columbus,Ohio,USA,
130,Brain Busters,Columbus,Ohio,USA,
131,CHAOS,Manchester,New Hampshire,USA,
132,Radioactive Mustangs,Wilton Manors,FL,USA,
133,B.E.R.T.,Standish,Maine,USA,
134,Team Discovery,Pembroke,NH,USA,
135,Penn Robotics Black Knights,Mishawaka,Indiana,USA,
136,Killer Kardinals,Plainfield,New Jersey,USA,
138,Entropy,Amherst,New Hampshire,USA,
140,Tigers,Tyngsboro,MA,USA,
141,WOBOT,Holland,Michigan,USA,
144,Operation Orange,Hamilton,Ohio,USA,
145,T-Rx,Norwich,New York,USA,
146,Team 146,Norwich,New York,USA,
147,Deep Thunder,St. Petersburg,FL,USA,
148,Robowranglers,Greenville,Texas,USA,
151,Tough Techs,Nashua,New Hampshire,USA,
153,Team 153,Bridgewater,NJ,USA,
155,The TechnoNuts,Berlin,Connecticut,USA,
156,RPM  - Robotics Plus Mayhem,Fairview,Pennsylvania,USA,
157,AZTECHS,Marlborough,Massachusetts,USA,
158,The Cobras,Milford,OH,USA,
159,Alpine Robotics,Fort Collins,Colorado,USA,
161,Team 161,Fort Collins,Colorado,USA,
162,Team 162,Fort Collins,Colorado,USA,
163,Team 163,Fort Collins,Colorado,USA,
165,Das Goat,Annapolis,MD,USA,
166,Chop Shop,Merrimack,New Hampshire,USA,
167,Children of the Corn,Iowa City,Iowa,USA,
168,Flashbacks,Miami,FL,USA,
169,Team 169,Miami,FL,USA,
171,Cheese Curd Herd,Platteville,Wisconsin,USA,
172,Northern Force,Falmouth/Gorham,Maine,USA,
173,RAGE Robotics ⚙️,Tolland,Connecticut,USA,
174,Arctic Warriors,Liverpool,New York,USA,
175,Buzz Robotics,Enfield,Connecticut,USA,
176,Aces High,Windsor Locks,Connecticut,USA,
177,Bobcat Robotics,South Windsor,Connecticut,USA,
178,The 2nd Law Enforcers,Farmington,Connecticut,USA,
179,Children of the Swamp,Riviera Beach,Florida,USA,
180,S.P.A.M.,Stuart,Florida,USA,
181,Birds Of Prey,Hartford,Connecticut,USA,
182,ThunderQuest,Dearborn,MI,USA,
184,F.R.E.D.,Dearborn,MI,USA,
186,The Alliance,Lake Buena Vista,FL,USA,
188,Blizzard,Toronto,Ontario,Canada,
190,Gompei and the HERD,Worcester,Massachusetts,USA,
191,X-CATS,Rochester,New York,USA,
192,GRT,Palo Alto,California,USA,
193,MORT Beta,Flanders,New Jersey,USA,
195,CyberKnights,Southington,Connecticut,USA,
197,Team 197,Southington,Connecticut,USA,
199,Deep Blue,Belmont,California,USA,
201,The FEDS,Rochester,Michigan,USA,
202,Team 202,Rochester,Michigan,USA,
203,SOUPERBOTS,Sicklerville,New Jersey,USA,
204,Eastern Robotic Vikings,Voorhees,New Jersey,USA,
207,METALCRAFTERS,Hawthorne,California,USA,
209,DRRT,North Dighton,MA,USA,
211,MAK,Rochester,NY,USA,
212,Robotics And Creative Engineering,Miami,FL,USA,
213,The Dirty Birds,Keene,New Hampshire,USA,
215,Team 215,El Paso,TX,USA,
216,More RoboDawgs,Grandville,Michigan,USA,
217,ThunderChickens,Sterling Heights,Michigan,USA,
219,Team Impact,Washington,New Jersey,USA,
221,Team 221,Houghton,MI,USA,
222,Tigertrons,Tunkhannock,Pennsylvania,USA,
223,Xtreme Heat,Wanaque,New Jersey,USA,
224,The Tribe,Piscataway,New Jersey,USA,
225,TechFire,Seven Valleys,Pennsylvania,USA,
226,Hammerheads,Troy,Michigan,USA,
227,Team 227,Troy,Michigan,USA,
228,GUS,Meriden,Connecticut,USA,
229,Division By Zero,Potsdam,New York,USA,
230,Gaelhawks,Shelton,Connecticut,USA,
231,High Voltage,Houston,Texas,USA,
232,Team 232,Napa,CA,USA,
233,The Pink Team,Rockledge,Florida,USA,
234,Cyber Blue,Indianapolis,Indiana,USA,
235,Motown Live Wires,Warren,MI,USA,
236,Techno-Ticks,Old Lyme,Connecticut,USA,
237,Black Magic Robotics,Watertown,Connecticut,USA,
238,Crusaders,Manchester,New Hampshire,USA,
239,Team 239,Manchester,New Hampshire,USA,
240,TEMPEST,Newport,Michigan,USA,
241,Astros,Derry,NH,USA,
244,RoboDawgs 3D,Grandville,Michigan,USA,
245,Adambots,Rochester Hills,Michigan,USA,
246,Lobstah Bots,Boston,Massachusetts,USA,
247,Da Bears,Berkley,Michigan,USA,
248,Team 248,Philadelphia,PA,USA,
249,The Bulldogs,Detroit,MI,USA,
250,The Dynamos,Colonie,New York,USA,
252,Team 252,Colonie,New York,USA,
253,Boba Bots,Millbrae,California,USA,
254,The Cheesy Poofs,San Jose,California,USA,
255,Team 255,San Jose,CA,USA,
256,Robo-Rams,San Jose,California,USA,
257,Team 257,San Jose,California,USA,
258,Sea Dawgs,San Jose,CA,USA,
259,LABRATs,Bell,CA,USA,
260,Team 260,Los Angeles,CA,USA,
261,Team 261,Los Angeles,CA,USA,
263,Aftershock,Ronkonkoma,New York,USA,
264,Team 264,MI,USA,USA,
265,Moderate Heat,Wanaque,New Jersey,USA,
266,Team 266,Wanaque,New Jersey,USA,
267,Demolition Squad,Parkland,FL,USA,
268,Team 268,Philadelphia,PA,USA,
269,CooneyTech,Oconomowoc,Wisconsin,USA,
270,Falcons,Deer Park,NY,USA,
271,Mechanical Marauders,Bay Shore,New York,USA,
272,Cyber Crusaders,Lansdale,Pennsylvania,USA,
274,Rhodes Maniacs,Cleveland,OH,USA,
276,Madcows!,Youngstown,OH,USA,
277,Team 277,Youngstown,OH,USA,
278,Team 278,Orlando,FL,USA,
279,Tech Fusion,Maumee,Ohio,USA,
280,TnT,Taylor,Michigan,USA,
281,The GreenVillains,Greenville,South Carolina,USA,
282,Team 282,Winter Park,FL,USA,
283,The Generals,Greenville,South Carolina,USA,
284,The Crew,Dimock,PA,USA,
287,Floyd Robotics,Mastic Beach,New York,USA,
288,The RoboDawgs,Grandville,Michigan,USA,
290,Team 290,Grandville,Michigan,USA,
291,CIA - Creativity In Action,Erie,Pennsylvania,USA,
292,PantherTech,Russiaville,Indiana,USA,
293,SPIKE,Pennington,New Jersey,USA,
294,Beach Cities Robotics,Redondo Beach,California,USA,
295,Grizzly Robotics Team,Granite Bay,California,USA,
296,Northern Knights,Montreal,Québec,Canada,
297,Dragons 2,Lake Orion,MI,USA,
298,Team 298,Pleasanton,CA,USA,
299,Valkyrie Robotics,Cupertino,California,USA,
300,AAME,Philadelphia,PA,USA,
301,P.R.O.B.O.T.S.,Dearborn,MI,USA,
302,The Dragons,Lake Orion,Michigan,USA,
303,The T.E.S.T. Team,Bridgewater,New Jersey,USA,
304,GWHS Robo Griffins,Philadelphia,Pennsylvania,USA,
306,CRT,Corry,Pennsylvania,USA,
308,Monsters,Walled Lake,Michigan,USA,
309,RECHARGED,Walled Lake,Michigan,USA,
311,Red Jammers,Islip Terrace,NY,USA,
312,HeatWave,St. Petersburg,FL,USA,
313,Demeter,Westland,Michigan,USA,
314,The Megatron Oracles,Flint,Michigan,USA,
315,Team 315,Flint,Michigan,USA,
316,LUNATECS,Carneys Point,New Jersey,USA,
317,Mechanical Geek Squad,Fort Worth,TX,USA,
319,Big Bad Bob,Alton,New Hampshire,USA,
321,RoboLancers,Philadelphia,Pennsylvania,USA,
322,Team Knight Riders,Flint,Michigan,USA,
323,Lights Out,Mountain Home,Arkansas,USA,
324,Chips,Friendswood,Texas,USA,
325,Respawn Robotics,Hamilton,Ohio,USA,
326,Teamsuperpowermaticultramegasuperlativeawesometasticdelcioushowlingunieagles,Romulus,MI,USA,
328,Penn Robotics Golden Rooks,Mishawaka,Indiana,USA,
329,Mohawks,Medford,New York,USA,
330,The Beach Bots,Hermosa Beach,California,USA,
331,The Bulldogs,New York,NY,USA,
333,MEGALODONS,Brooklyn,New York,USA,
334,TechKnights,Brooklyn,New York,USA,
335,Skillz Tech Gear Botz,Brooklyn,New York,USA,
337,Hard Working Hard Hats,Whitman,West Virginia,USA,
338,Pandemic,West Jefferson,NC,USA,
339,Kilroy Robotics,Stafford,Virginia,USA,
340,G.R.R. (Greater Rochester Robotics),Churchville,New York,USA,
341,Miss Daisy,Ambler,Pennsylvania,USA,
342,Burning Magnetos,North Charleston,South Carolina,USA,
343,Metal-In-Motion,Seneca,South Carolina,USA,
345,NORSTAR,Norfolk,VA,USA,
346,RoboHawks,Richmond,Virginia,USA,
348,Norwell Robotics,Norwell,Massachusetts,USA,
349,Team 349,Bloomfield Hills,MI,USA,
350,Timberlane Robotics,Plaistow,NH,USA,
351,Team 351,Green Cove Springs,FL,USA,
352,The Green Machine,Carle Place,New York,USA,
353,POBots,Plainview,New York,USA,
